Authors,DOI,DataSourceType,FeatureName,UniqueID,Latitude,Longitude,FeatureType,FeatureCategory,ThawType,Imagery,ImageryDates,ImageryResolutionMeters,Aspect,Elevation,MeanElevation,RelativeElevation,Slope,SolarRadiationIndex
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19430,69.7718071,-152.8176417,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,125,90.10156,88.69201987,1.409542628,6,0.76078598
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19431,69.76722756,-152.7977324,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,342,85.14844,85.42475806,-0.276320557,0,0.690538771
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19432,69.78535192,-152.7535681,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,196,76.42969,76.58620756,-0.156520056,0,0.690309937
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19433,69.78596987,-152.7187295,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,279,77.640625,77.87494629,-0.234321291,0,0.690302134
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19434,69.78460451,-152.7213838,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,99,77.36719,77.57908304,-0.211895545,0,0.690319375
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19435,69.78352478,-152.7272386,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,184,77.25781,77.37585204,-0.118039544,1,0.698761573
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19436,69.7752596,-152.7143839,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,181,94.265625,94.35702153,-0.091396532,0,0.690437369
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19437,69.77602838,-152.7324355,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,72,78.640625,78.90273116,-0.262106156,1,0.695753773
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19438,69.77325769,-152.7513475,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,13,79.38281,79.46021504,-0.077402539,1,0.683385873
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19439,69.77039194,-152.7475008,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,181,79.140625,79.31517621,-0.174551214,0,0.690498824
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19440,69.76846043,-152.7408232,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,297,79.33594,79.29181073,0.04412677,0,0.690523208
Jones & Zuck (2016),https://doi.org/10.5066/F7H70CXB,Remote sensing - published,,19441,69.78668833,-152.6939944,Thermokarst lake,Thermokarst lake,Abrupt,SAR; Landsat TM; ETM+; OLI,1985 through 2015,30,271,86,86.50869729,-0.508697295,0,0.690293061
