Authors,DOI,DataSourceType,FeatureName,FeatureType,FeatureCategory,Imagery,ImageryDate,ImageryResolutionMeters,Latitude,Longitude,ThawType,Aspect,Elevation,MeanElevation,RelativeElevation,Slope,SolarRadiation,Geo
Jorgenson (2013),https://doi.org/10.18739/A2CP5C,Field - published,IMN2-E1,Active layer detachment,Active layer detachment,,,,68.5434017,-149.5225133,Abrupt,2,883.41406,884.0010127,-0.586950238,3,0.678867597,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-149.52252052218307,68.54340002284493]}"
Klein et al. (2013),https://doi.org/10.1016/j.palaeo.2013.09.009,Field - published,,Drained thermokarst basin,Thermokarst,,,,60.52305556,-161.0927778,Abrupt,92,36.9375,37.01900496,-0.08150496,2,0.812280464,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-161.0927884796358,60.523048291049705]}"
Gooseff (2016),https://doi.org/10.18739/A2M89X,Field - published,AK BURN REF SITE 1,Fire-driven thermokarst,Wildfire-induced thaw,,,,69.37583333,-150.6813889,Abrupt,14,133.98438,134.1777656,-0.193390624,1,0.688615941,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.68139356680015,69.37582616684384]}"
Gooseff (2016),https://doi.org/10.18739/A2M89X,Field - published,"AK BURN REF SITE 2 - Shrew River, Lower",Fire-driven thermokarst,Wildfire-induced thaw,,,,69.32277778,-150.9505556,Abrupt,51,120.30469,120.071552,0.233135544,3,0.698109585,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.95055215456432,69.32276789080179]}"
Gooseff (2016),https://doi.org/10.18739/A2M89X,Field - published,AK BURN REF SITE 4,Fire-driven thermokarst,Wildfire-induced thaw,,,,69.32805556,-150.2380556,Abrupt,216,184.99219,186.1528393,-1.160651761,1,0.698244197,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.2380421861892,69.32806206444937]}"
Gooseff (2016),https://doi.org/10.18739/A2M89X,Field - published,AK BURN REF SITE 5,Fire-driven thermokarst,Wildfire-induced thaw,,,,69.30361111,-149.5608333,Abrupt,222,259.32812,259.4334078,-0.105282755,0,0.696368658,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-149.56085255793602,69.30361782306704]}"
Gooseff (2016),https://doi.org/10.18739/A2M89X,Field - published,North River Main/ISCO,Fire-driven thermokarst,Wildfire-induced thaw,,,,69.13833333,-150.6491667,Abrupt,312,229.10938,229.1695,-0.060124975,1,0.685878226,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.64916630638973,69.13834454170545]}"
Gooseff (2016),https://doi.org/10.18739/A2M89X,Field - published,North River Mid,Fire-driven thermokarst,Wildfire-induced thaw,,,,69.1525,-150.7061111,Abrupt,349,226.77344,226.752497,0.020940458,1,0.687613752,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.70613462750077,69.1525009264409]}"
Gooseff (2016),https://doi.org/10.18739/A2M89X,Field - published,South River Main/ISCO,Fire-driven thermokarst,Wildfire-induced thaw,,,,69.0075,-150.3138889,Abrupt,41,313.84375,313.4195295,0.424220465,1,0.698763012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.31387350883153,69.0075057291822]}"
Gooseff (2016),https://doi.org/10.18739/A2M89X,Field - published,South River Mid,Fire-driven thermokarst,Wildfire-induced thaw,,,,69.04305556,-150.4291667,Abrupt,333,288.4453,288.3804504,0.06486212,1,0.687561105,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.4291618479218,69.04305052105211]}"
